"name"	"bottle"	"LB_growth_rate"	"RIF_growth_rate"
"ODvsTime\20200819\20200819_AD30_AD30YFP_RIF.txt"	0	1.8432181274887685	1.706858047846312
"ODvsTime\20200819\20200819_AD30_AD30YFP_RIF.txt"	1	1.9034861551146267	1.8950920457607434
"ODvsTime\20200819\20200819_AD30_AD30YFP_RIF.txt"	2	1.8347597834771756	1.8836258398997272
"ODvsTime\20200819\20200819_AD30_AD30YFP_RIF.txt"	3	1.8259569264962006	1.7921715877282476
"ODvsTime\20200821\20200821_AD30_AD30YFP_RIF.txt"	0	1.8024338446052994	1.7878041122597184
"ODvsTime\20200821\20200821_AD30_AD30YFP_RIF.txt"	1	1.8991644357306805	1.88392249770251
"ODvsTime\20200821\20200821_AD30_AD30YFP_RIF.txt"	2	1.8967024101114043	1.8691164107686369
"ODvsTime\20200821\20200821_AD30_AD30YFP_RIF.txt"	3	1.810017522759058	1.7988368923313194
"ODvsTime\20200826\20200826_AD30_AD30YFP_rif.txt"	1	1.8771427776504999	1.853050132649756
"ODvsTime\20200826\20200826_AD30_AD30YFP_rif.txt"	2	1.7940543082483191	1.785799131534619
"ODvsTime\20200826\20200826_AD30_AD30YFP_rif.txt"	3	1.827056330661878	1.7878308918055263
"ODvsTime\20200828\20200828_AD30_AD30YFP_rif.txt"	0	1.816836720040934	1.7919771703509297
"ODvsTime\20200828\20200828_AD30_AD30YFP_rif.txt"	1	1.8233883679872347	1.8061088207639484
"ODvsTime\20200828\20200828_AD30_AD30YFP_rif.txt"	2	1.8271569245890225	1.8619830836616829
"ODvsTime\20200828\20200828_AD30_AD30YFP_rif.txt"	3	1.8515674220582947	1.6985607055731244
"ODvsTime\20220610\log2022-6-9_9h33m30s.txt"	0	1.9700873140394375	1.9185852237102965
"ODvsTime\20220610\log2022-6-9_9h33m30s.txt"	1	2.0052281563491636	1.7195375157151778
"ODvsTime\20220610\log2022-6-9_9h33m30s.txt"	2	2.0981226441313106	0
"ODvsTime\20220610\log2022-6-9_9h33m30s.txt"	3	2.245083326686016	2.2689710759391732
"ODvsTime\20220921\20220921_ev100mikrogRIF.txt"	0	1.9308408239595003	1.8635826554488975
"ODvsTime\20220921\20220921_ev100mikrogRIF.txt"	1	1.7463473591450407	1.5013494860659706
"ODvsTime\20220921\20220921_ev100mikrogRIF.txt"	2	1.9776642814727796	1.9318759193708475
"ODvsTime\20220921\20220921_ev100mikrogRIF.txt"	3	2.0036266674677234	1.7787079428311077
